date,price
8/28/00,1.702
8/21/00,1.667
8/14/00,1.668
8/7/00,1.666
7/31/00,1.681
7/24/00,1.712
7/17/00,1.72
7/10/00,1.729
7/3/00,1.71
6/26/00,1.641
6/19/00,1.618
6/12/00,1.614
6/5/00,1.613
5/29/00,1.626
5/22/00,1.634
